BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate,AllocatedWorkHours,EthnicBackground,EfficiencyDuringWorkHours,KeyboardPressesPerDay,AutomatedScore
29,948320468,adventure-works\mark1,/3/1/1/2/,4,Production Technician - WC60,00:00.0,S,F,00:00.0,FALSE,19,29,TRUE,CDB2C6DF-93E5-4558-91C8-424D5E7C658B,00:00.0,45%,Albanian,64%,931,48
37,442121106,adventure-works\chris2,/3/1/1/10/,1,Production Technician - WC60,00:00.0,S,M,00:00.0,FALSE,16,28,TRUE,77B384C7-AFFB-4816-992B-F5B3034EE4FF,00:00.0,44%,Belarusian,28%,263,65
39,461786517,adventure-works\ed0,/3/1/1/12/,4,Production Technician - WC60,00:00.0,S,F,00:00.0,FALSE,25,32,TRUE,8EF22FB3-AF37-4B44-8862-D60A7CB09D82,00:00.0,48%,Bulgarian,88%,1097,48
41,458159238,adventure-works\bryan0,/3/1/2/1/,1,Production Technician - WC60,00:00.0,S,M,00:00.0,FALSE,35,37,TRUE,4652D4E4-6A27-47ED-9F51-C377E293DA28,00:00.0,53%,Catalan,45%,419,65
44,276751903,adventure-works\simon0,/3/1/2/4/,1,Production Technician - WC60,00:00.0,S,M,00:00.0,FALSE,38,39,TRUE,F734D38A-56B5-471E-8DED-A682E958A9B3,00:00.0,55%,Cornish,31%,1004,43
46,66073987,adventure-works\eugene1,/3/1/2/6/,3,Production Technician - WC60,00:00.0,S,F,00:00.0,FALSE,36,38,TRUE,33543B35-77DA-4600-A41B-1EAFEA0AD643,00:00.0,54%,Croatian,89%,616,57
49,912265825,adventure-works\barry0,/3/1/3/2/,3,Production Technician - WC10,3/26/1956 0:00,S,F,00:00.0,FALSE,88,64,TRUE,756A60AE-378F-43D8-9F93-1E821D1EAF52,00:00.0,80%,US,23%,1163,84
51,132674823,adventure-works\jeffrey0,/3/1/3/4/,3,Production Technician - WC10,00:00.0,S,F,00:00.0,FALSE,85,62,TRUE,6E086F41-B81D-4BDC-9F13-0EEC488DC43E,00:00.0,78%,US,42%,556,90
57,10708100,adventure-works\frank1,/3/1/4/2/,4,Production Technician - WC50,00:00.0,S,F,00:00.0,FALSE,10,25,TRUE,B395CD84-77BA-4D3C-A49D-D9E8D6CF100B,00:00.0,41%,Dutch,86%,1115,18
59,843479922,adventure-works\bob0,/3/1/4/4/,3,Production Technician - WC50,00:00.0,S,F,00:00.0,FALSE,12,26,TRUE,68616AEA-81E5-4940-A7E4-6FBA882BCCF6,00:00.0,42%,English,92%,878,18
60,827686041,adventure-works\pete0,/3/1/4/5/,2,Production Technician - WC50,00:00.0,S,M,00:00.0,FALSE,13,26,TRUE,1F1D813D-3EDC-4274-8E9B-4519D71685B6,00:00.0,42%,Estonian,21%,436,27
63,414476027,adventure-works\maciej0,/3/1/5/1/,2,Production Technician - WC60,00:00.0,S,M,00:00.0,FALSE,30,35,TRUE,3229D93F-6A14-4BAC-ABC5-A91B9ECFB4D3,00:00.0,51%,Faroese,33%,1254,36
64,582347317,adventure-works\michael7,/3/1/5/2/,4,Production Technician - WC60,00:00.0,S,F,00:00.0,FALSE,26,33,TRUE,492B24BD-BDE9-4371-B96E-CCD72264B91F,00:00.0,49%,Finnish,32%,1256,52
66,834186596,adventure-works\karan0,/3/1/5/4/,4,Production Technician - WC60,00:00.0,S,F,00:00.0,FALSE,28,34,TRUE,08B1BA74-DD80-4FDA-8327-93268B84977B,00:00.0,50%,French,40%,1848,19
67,63179277,adventure-works\jay0,/3/1/5/5/,2,Production Technician - WC60,00:00.0,S,M,00:00.0,FALSE,32,36,TRUE,18187809-5294-474F-85A1-D5BE6BD518D6,00:00.0,52%,Galician,71%,800,41
68,537092325,adventure-works\charles0,/3/1/5/6/,2,Production Technician - WC60,00:00.0,S,M,00:00.0,FALSE,27,33,TRUE,CDC11292-DF74-4FB0-8676-5B2AA4687142,00:00.0,49%,German,34%,1106,39
69,752513276,adventure-works\steve0,/3/1/5/7/,3,Production Technician - WC60,00:00.0,S,F,00:00.0,FALSE,31,35,TRUE,12F678D7-EAD3-4CF4-8518-A19AACF2A6D4,00:00.0,51%,Greek,22%,1384,62
74,420023788,adventure-works\bjorn0,/3/1/6/3/,4,Production Technician - WC30,00:00.0,S,F,00:00.0,FALSE,43,41,TRUE,A942E1E0-2D5E-4858-97C0-947020E96860,00:00.0,57%,Hungarian,53%,328,54
75,363996959,adventure-works\michiko0,/3/1/6/4/,2,Production Technician - WC30,00:00.0,S,M,00:00.0,FALSE,44,42,TRUE,F359F5B6-5E18-4C62-8531-14D951911CE5,00:00.0,58%,Icelandic,53%,311,35
80,943170460,adventure-works\sandeep0,/3/1/7/2/,3,Production Technician - WC40,00:00.0,S,F,00:00.0,FALSE,65,52,TRUE,606C21E2-3EC0-48A6-A9FE-6BC8123AC786,00:00.0,68%,Irish,37%,1127,24
81,413787783,adventure-works\mihail0,/3/1/7/3/,1,Production Technician - WC40,00:00.0,S,M,00:00.0,FALSE,64,52,TRUE,03A9BA14-0D5B-4671-B851-2C1721EFBF01,00:00.0,68%,Italian,43%,1914,35
82,58791499,adventure-works\jack1,/3/1/7/4/,3,Production Technician - WC40,00:00.0,S,F,00:00.0,FALSE,62,51,TRUE,D308D387-F7F3-4B5F-ABDA-FAF5574245CD,00:00.0,67%,Latvian,82%,1585,65
85,1662732,adventure-works\brian2,/3/1/7/7/,4,Production Technician - WC40,00:00.0,S,F,00:00.0,FALSE,63,51,TRUE,C294F676-CAAF-4924-9730-BC81AE408BE1,00:00.0,67%,Lithuanian,94%,341,64
89,90888098,adventure-works\patrick0,/3/1/8/2/,1,Production Technician - WC10,00:00.0,S,M,00:00.0,FALSE,96,68,TRUE,D5FBE9E6-B8C5-484C-B4B8-48059E0EF267,00:00.0,84%,US,90%,579,90
97,370581729,adventure-works\mandar0,/3/1/9/4/,4,Production Technician - WC50,00:00.0,S,F,00:00.0,FALSE,0,20,TRUE,1F0E068A-48C5-40BF-8190-565150EFDADD,00:00.0,36%,Macedonian,49%,251,60
99,431859843,adventure-works\nuan0,/3/1/9/6/,1,Production Technician - WC50,00:00.0,S,M,00:00.0,FALSE,2,21,TRUE,A6089357-2F2F-48CC-AB3C-D9B75A3C09D7,00:00.0,37%,Maltese,86%,1558,23
103,455563743,adventure-works\ebru0,/3/1/10/1/,2,Production Technician - WC10,00:00.0,S,M,00:00.0,FALSE,93,66,TRUE,6C25A32B-88B5-4F84-A129-F7F688DFA588,00:00.0,82%,US,68%,951,79
105,801365500,adventure-works\kevin2,/3/1/10/3/,3,Production Technician - WC10,00:00.0,S,F,00:00.0,FALSE,90,65,TRUE,8B21E53D-E705-479A-B32E-6E63AC2F4BCD,00:00.0,81%,US,28%,1030,85
